孕周,预测Y染色体浓度,平均BMI,平均年龄,平均身高,平均体重,平均PC1,cluster,min_pts,epsilon
10.0,0.03942273311442885,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
10.1,0.040084328769913524,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
10.2,0.04073335990290688,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
10.3,0.041370077940436185,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
10.4,0.04199473199569372,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
10.5,0.04260756529427832,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
10.6,0.043208811677353694,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
10.7,0.043798692081897767,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
10.8,0.04437741038556477,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
10.9,0.04494515048350824,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
11.0,0.04550207344352172,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
11.1,0.0460483143595891,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
11.2,0.046583980161811894,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
11.3,0.04710914711760021,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
11.4,0.04762385979271153,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
11.5,0.04812812887195916,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
11.6,0.04862193094680397,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
11.7,0.04910520829861935,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
11.8,0.049577869091237625,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
11.9,0.05003978818261847,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
12.0,0.05049080876258007,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
12.1,0.0509307448473107,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
12.2,0.051359383722500374,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
12.3,0.05177648982603191,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
12.4,0.05218180867251253,32.343754647754096,29.092198581560282,161.43498817966903,84.39205673758865,-0.023732250063352108,1,5,12.386676431849951
